"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","distance","size"
"1","15 Perc Pizza Expressz","Margherita pizza (32cm)","2099",4,389,"Dessewffy utca 5","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Budapest","Budapest Dessewffy utca 5","15 Perc Pizza, 5, Dessewffy utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5041922,19.0556617,47.4983815,19.0404707,"1.3142607404295563 km","32"
"2","15 Perc Pizza Expressz","Margherita pizza (33cm)","2899",4,389,"Dessewffy utca 5","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Budapest","Budapest Dessewffy utca 5","15 Perc Pizza, 5, Dessewffy utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5041922,19.0556617,47.4983815,19.0404707,"1.3142607404295563 km","33"
"3","50minutes","Margharita Pizza (32cm)","1850",4.6,398,"Fõ utca 51","Olasz","Magyaros","Hamburger","Pizza","Algida","Budapest","Budapest Fõ utca 51","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","32"
"4","50minutes","Margharita Pizza (46cm)","3050",4.6,398,"Fõ utca 51","Olasz","Magyaros","Hamburger","Pizza","Algida","Budapest","Budapest Fõ utca 51","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","46"
"5","50minutes","Margharita Pizza (28cm)","1550",4.6,398,"Fõ utca 51","Olasz","Magyaros","Hamburger","Pizza","Algida","Budapest","Budapest Fõ utca 51","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","28"
"6","Ape Regina Restaurant","Margherita pizza (32cm)","1990",4.1,7,"Podmaniczky utca 18","Olasz","Tészta","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Podmaniczky utca 18","Ape Regina, 18, Podmaniczky utca, Terézváros, Budapest, Közép-Magyarország, 1065, Magyarország",47.5086038,19.057331,47.4983815,19.0404707,"1.7044555814675393 km","32"
"7","Attaboy! Burger and Pizza","TM - Margherita pizza (32cm)","2190",4.7,979,"Síp utca 4","Pizza","Olasz","Amerikai","Hamburger","Készpénzes fizetés","Budapest","Budapest Síp utca 4","Attaboy, 4, Síp utca, Erzsébetváros, Budapest, Közép-Magyarország, 1075, Magyarország",47.4957405,19.0625008,47.4983815,19.0404707,"1.685689229133689 km","32"
"8","Attaboy! Burger and Pizza","TM - Margherita pizza (45cm)","4390",4.7,979,"Síp utca 4","Pizza","Olasz","Amerikai","Hamburger","Készpénzes fizetés","Budapest","Budapest Síp utca 4","Attaboy, 4, Síp utca, Erzsébetváros, Budapest, Közép-Magyarország, 1075, Magyarország",47.4957405,19.0625008,47.4983815,19.0404707,"1.685689229133689 km","45"
"9","Attaboy! Burger and Pizza","Margherita pizza (32cm)","1890",4.7,979,"Síp utca 4","Pizza","Olasz","Amerikai","Hamburger","Készpénzes fizetés","Budapest","Budapest Síp utca 4","Attaboy, 4, Síp utca, Erzsébetváros, Budapest, Közép-Magyarország, 1075, Magyarország",47.4957405,19.0625008,47.4983815,19.0404707,"1.685689229133689 km","32"
"10","Attaboy! Burger and Pizza","Margherita pizza (45cm)","3790",4.7,979,"Síp utca 4","Pizza","Olasz","Amerikai","Hamburger","Készpénzes fizetés","Budapest","Budapest Síp utca 4","Attaboy, 4, Síp utca, Erzsébetváros, Budapest, Közép-Magyarország, 1075, Magyarország",47.4957405,19.0625008,47.4983815,19.0404707,"1.685689229133689 km","45"
"11","Avanti Pizzéria - Lajos utca","Margherita pizza (32cm)","1690",4,93,"Lajos utca 98","Olasz","Hamburger","Amerikai","Pizza","Készpénzes fizetés","Budapest","Budapest Lajos utca 98","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","32"
"12","Avanti Pizzéria - Lajos utca","Margherita calzone pizza (32cm)","2090",4,93,"Lajos utca 98","Olasz","Hamburger","Amerikai","Pizza","Készpénzes fizetés","Budapest","Budapest Lajos utca 98","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","32"
"13","Azzurra Ristorante Pizzeria Bar","Pizza Margherita (33cm)","1700",4.5,81,"Király utca 19","Pizza","Saláta","Tészta","Olasz","Saláta","Pécs","Pécs Király utca 19","19, Király utca, Zidina, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.076852,18.231805,46.0763222,18.2280746,"0.29451759127282223 km","33"
"14","Bellozzo - Debrecen","Margherita pizza (24cm)","1140",4.7,429,"Csapó utca 30","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Debrecen","Debrecen Csapó utca 30","Leroy Café Debrecen, 30, Csapó utca, Óváros, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4024, Magyarország",47.532389,21.6287304,47.531399,21.6259782,"0.23465207793616433 km","24"
"15","Bellozzo - Debrecen","Margherita pizza (32cm)","1790",4.7,429,"Csapó utca 30","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Debrecen","Debrecen Csapó utca 30","Leroy Café Debrecen, 30, Csapó utca, Óváros, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4024, Magyarország",47.532389,21.6287304,47.531399,21.6259782,"0.23465207793616433 km","32"
"16","Bellozzo - Oktogon","Margherita pizza (32cm)","1790",4.7,501,"Oktogon 1","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Oktogon 1","Citibank, 1, Oktogon, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5050118,19.0627002,47.4983815,19.0404707,"1.8298489919171572 km","32"
"17","Bellozzo - Oktogon","Margherita pizza (24cm)","1140",4.7,501,"Oktogon 1","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Oktogon 1","Citibank, 1, Oktogon, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5050118,19.0627002,47.4983815,19.0404707,"1.8298489919171572 km","24"
"18","Bíbor Pizza","Margherita pizza (32cm)","1690",4.5,44,"Népfürdõ utca 17","Pizza","Készpénzes fizetés",NA,NA,NA,"Budapest","Budapest Népfürdõ utca 17","17/e, Népfürdõ utca, Vizafogó, XIII. kerület, Közép-Magyarország, 1138, Magyarország",47.5316225,19.0589072,47.4983815,19.0404707,"3.9480488429433525 km","32"
"19","Bonnie Restro Comics","Margherita pizza (32cm)","1790",5,26,"Ferenciek tere 5","Nemzetközi","Pizza","NetPincér GO","SZÉP kártyás fizetés","Érintkezésmentes kiszállítás","Budapest","Budapest Ferenciek tere 5","Ibolya espresso, 5, Ferenciek tere, Belváros, Budapest, Közép-Magyarország, 1053, Magyarország",47.4922815,19.0564725,47.4983815,19.0404707,"1.3833887889540222 km","32"
"20","Boss Pizzéria és Hamburger Bár","Margaréta pizza (30cm)","1415",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","30"
"21","Boss Pizzéria és Hamburger Bár","Margaréta pizza (26cm)","1218",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","26"
"22","Boss Pizzéria és Hamburger Bár","Margaréta pizza (50cm)","3738",5,1,"Dorozsmai út 191","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Dorozsmai út 191","Dorozsmai út, Iparváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6728, Magyarország",46.2668937,20.1075888,46.2546312,20.1486016,"3.44330518928121 km","50"
