,Restaurant,User-Rating,No-Ratings,Address,Feature1,Feature2,Feature3,Feature4,Feature5,City
0, Don Pepe - Kálmán Imre utca,4.6,2009,Kálmán Imre 23,Olasz,Nemzetközi,Magyaros,Hamburger,Vegán,Budapest
1, Pizza Hut Arany János,4.4,250,Arany János utca 31,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Budapest
2, Boulevard Kitchen,4.4,5,Erzsébet körút 12,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
3, 15 Perc Pizza Expressz,4,389,Dessewffy utca 5,Olasz,Pizza,Készpénzes fizetés,,,Budapest
4, Il Terzo Cerchio Étterem Pizzéria,4.3,359,Dohány u. 40,Olasz,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
5, 50minutes,4.6,398,Fő utca 51,Olasz,Magyaros,Hamburger,Pizza,Algida,Budapest
6, Pizza Monkey Budapest,4.3,197,Kármán utca 3,Magyaros,Hamburger,Saláta,Vegán,Grill,Budapest
7, Ponte Pizza and Restaurant,4.7,1195,Nefelejcs utca 14,Magyaros,Olasz,Pizza,Algida,Készpénzes fizetés,Budapest
8, Trófea Grill Étterem,4.6,899,Király utca 30,Pizza,Olasz,Magyaros,Hamburger,Amerikai,Budapest
9, Vapiano Belváros,4.2,228,Vörösmarty tér 3,Olasz,Pizza,Saláta,Tészta,NetPincér GO,Budapest
10, Attaboy! Burger and Pizza,4.7,979,Síp utca 4,Pizza,Olasz,Amerikai,Hamburger,Készpénzes fizetés,Budapest
11, Etna Házhozszállítás,4.7,226,Kertész utca 48,Olasz,Pizza,Ételérzékenyeknek is,Készpénzes fizetés,,Budapest
12, Bellozzo - Oktogon,4.7,501,Oktogon 1,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
13, All About Street Food,4.7,244,Múzeum utca 7,Pizza,Szendvics,Amerikai,Hamburger,Algida,Budapest
14, Pizza King Belváros,3.9,1480,István utca 26,Olasz,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
15, Il Treno - Trombitás,4.5,382,Retek utca 12,Pizza,Olasz,Készpénzes fizetés,,,Budapest
16, La Cipolla - Tradicionális olasz konyha,4.7,1438,Rózsafa utca 13,Olasz,Pizza,Algida,Készpénzes fizetés,SZÉP kártyás fizetés,Budapest
17, Donna Mamma Pizza Napoletana,4.6,286,Rákóczi út 1-3,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
18, Don Corleone Pizzéria,4.7,409,Nefelejcs u. 27,Olasz,Nemzetközi,Pizza,Algida,Készpénzes fizetés,Budapest
19, Mercetti - az olasz konyha szerelmese,4.8,347,Erkel utca 9,Pizza,Vegetariánus,Saláta,Tészta,Olasz,Budapest
20, Kupak Bar & Bistro,4.2,57,Dob utca 2,Pizza,Nemzetközi,Magyaros,NetPincér GO,SZÉP kártyás fizetés,Budapest
21, Trófea Grill Étterem Zugló,4.8,1877,Erzsébet királyné útja 5-7.,Olasz,Magyaros,Sushi,Hamburger,Amerikai,Budapest
22, Da Mario Budapest,,,Vécsey utca 3,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
23, Pizza EATaliano - Pest,4.3,41,Vécsey u. 5,Olasz,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
24, Pasta Culture Tésztabár,4.5,44,Október 6. utca 19,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
25, Grand Re Pizza Hungary,4.7,119,Akácfa utca 65.,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
26, Első Pesti Rétesház Étterem Expressz,4.8,29,Október 6. utca 22,Cukrászda,Grill,Magyaros,Pizza,NetPincér GO,Budapest
27, Trabant Retro Bisztró Expressz,4.7,15,Október 6. utca 22,Grill,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
28, BITE Bakery Café - Oktogon,4.9,24,Oktogon 4,Pizza,Reggelizőhely,Pékség,NetPincér GO,SZÉP kártyás fizetés,Budapest
29, Pizza Me Dohány utca,4.5,21,Erzsébet körút 14,Olasz,Pizza,NetPincér GO,Érintkezésmentes kiszállítás,,Budapest
30, Trattoria Za-Za,4.3,109,Ráday utca 16,Olasz,Magyaros,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,Budapest
31, Okay Italia Szent István krt. Expressz,4.5,82,Szent István körút 20,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
32, Ibolya Pizza,4.3,24,Ferenciek tere 5,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
33, Nemo Fish & Chips & Salad Házhozszállítás,4.5,150,Török utca 8,Nemzetközi,Magyaros,Vegetariánus,Halétel,Pizza,Budapest
34, Allstar Pizza,4.5,130,Károly krt. 5,Olasz,Török,Görög,Pizza,Készpénzes fizetés,Budapest
35, Den Haag Pizzéria,4.8,51,Dohány utca 5,Pizza,Algida,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
36, Il Classico Nyugati tér,2.6,5,Nyugati tér 6,Olasz,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
37, Trattoria La Coppola,4.5,43,Károlyi utca 19,Pizza,Olasz,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
38, Európa Pizzéria,,,Váci utca 45,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
39, Pizzeria Di Carlo,5,1,Teréz körút 37 fszt. 9.,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
40, Rokfort Étterem,5,2,Szalay utca 3,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
41, Bonnie Restro Comics,5,26,Ferenciek tere 5,Nemzetközi,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
42, Ape Regina Restaurant,4.1,7,Podmaniczky utca 18,Olasz,Tészta,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
43, Dolce Vita Pizza,4.9,44,Erkel utca 9,Olasz,Pizza,Algida,Készpénzes fizetés,,Budapest
44, Moody Pizza,4,26,Duna utca 3,Magyaros,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
45, Ciao Italia,3.7,11,Erzsébet körút 50,Olasz,Tészta,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
46, Clooney Étterem és Pizza,2.8,5,Nyugati tér 6,Magyaros,Hamburger,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
47, Trattoria Pizzeria Monza,4.1,7,Krúdy Gyula utca 2,Tészta,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
48, Princess Bakery & Bistro,3.6,3,Kossuth Lajos tér 1,Pékség,Pizza,NetPincér GO,Érintkezésmentes kiszállítás,,Budapest
49," ""PizzaLabor - ha másra vágysz""",4.9,93,Erkel utca 9,Pizza,Algida,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
50, Patkó Bandi Étterem-Söröző,4.6,12,Váci út 12,Magyaros,Hamburger,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
51, Da Giovanni Pizzéria - 7. kerület,4.3,12,Dohány utca 88,Olasz,Pizza,Algida,Készpénzes fizetés,SZÉP kártyás fizetés,Budapest
52, Vidocq Étterem,4,130,Lajos utca 98,Olasz,Magyaros,Pizza,Készpénzes fizetés,,Budapest
53, DonMash Pizza,4.1,66,Váci utca 41,Cukrászda,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
54, Enrico from Sicily,3.9,35,Váci utca 41,Pizza,Olasz,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
55, Pizza Hungarica,3.7,25,Duna utca 3,Reggelizőhely,Cukrászda,Pizza,Reggelizőhely,Készpénzes fizetés,Budapest
56, Facebistro,5,4,Hollán Ernő utca 13-15.,Olasz,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
