"","Restaurant","User-Rating","No-Ratings","Address","City","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","margherita_pizza_price","beverage_price","Tags"
"1","15 Perc Pizza Expressz",4,391,"Dessewffy utca 5","Budapest","15 Perc Pizza, 5, Dessewffy utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5041922,19.0556617,47.4983815,19.0404707,"1.3142607404295563 km","0.5518839870433877 km","2099","499","OlaszPizzaKészpénzes fizetés"
"2","50minutes",4.6,398,"Fõ utca 51","Budapest","51, Fõ utca, Víziváros, Budapest, Közép-Magyarország, 1027, Magyarország",47.50821935,19.0384802,47.4983815,19.0404707,"1.1040109564494742 km","1.196931160803151 km","1850","400","OlaszMagyarosHamburgerPizzaAlgida"
"3","Ape Regina Restaurant",4.1,7,"Podmaniczky utca 18","Budapest","Ape Regina, 18, Podmaniczky utca, Terézváros, Budapest, Közép-Magyarország, 1065, Magyarország",47.5086038,19.057331,47.4983815,19.0404707,"1.7044555814675393 km","1.0111210841484044 km","1990",NA,"OlaszTésztaPizzaNetPincér GOSZÉP kártyás fizetés"
"4","Avanti Pizzéria - Lajos utca",3.9,94,"Lajos utca 98","Budapest","Vidocq Étterem, 98, Lajos utca, Óbuda, III. kerület, Budapest, Közép-Magyarország, 1036, Magyarország",47.5330609,19.0407838,47.4983815,19.0404707,"3.855758852990389 km","3.6427092702598696 km","1690",NA,"OlaszHamburgerAmerikaiPizzaKészpénzes fizetés"
"5","Belli Di Mamma",4.7,31,"Akácfa utca 45","Budapest","Belli di Mamma, 45, Akácfa utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1072, Magyarország",47.5001941,19.0657507,47.4983815,19.0404707,"1.9153425766180845 km","1.1777189587645263 km","1990",NA,"PizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"6","Bíbor Pizza",4.5,44,"Népfürdõ utca 17","Budapest","17/e, Népfürdõ utca, Vizafogó, XIII. kerület, Közép-Magyarország, 1138, Magyarország",47.5316225,19.0589072,47.4983815,19.0404707,"3.9480488429433525 km","3.4767937140415888 km","1690",NA,"PizzaKészpénzes fizetés"
"7","Bonnie Restro Comics",5,26,"Ferenciek tere 5","Budapest","Ibolya espresso, 5, Ferenciek tere, Belváros, Budapest, Közép-Magyarország, 1053, Magyarország",47.4922815,19.0564725,47.4983815,19.0404707,"1.3833887889540222 km","1.0717133625212434 km","1790",NA,"NemzetköziPizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"8","Boulevard Kitchen",4.2,7,"Erzsébet körút 12","Budapest","10-12, Erzsébet körút, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1073, Magyarország",47.4987101,19.0698424,47.4983815,19.0404707,"2.213331290057507 km","1.5034436615730813 km","1950",NA,"PizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"9","Campus ízmûvek és látványpizzéria",4.6,13,"Vitéz utca 24","Szeged","Campus Beer&More, 24, Vitéz utca, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6722, Magyarország",46.2475652,20.1425832573915,46.2546312,20.1486016,"0.9122922357742583 km","162.32078684880187 km","1690",NA,"PizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"10","Casa Mia Trattoria",4.2,12,"Pozsonyi út 37","Budapest","Pozsonyi út, Újlipótváros, XIII. kerület, Budapest, Közép-Magyarország, 1137, Magyarország",47.5154445,19.0495356,47.4983815,19.0404707,"2.016244466333202 km","1.6157260543982652 km","1690",NA,"OlaszPizzaKészpénzes fizetésSZÉP kártyás fizetés"
