,Restaurant,Product_Name,Price
0," Don Pepe - Kálmán Imre utca
",Hawaii pizza menü poharas jégkrémmel,4189Ft
1," Don Pepe - Kálmán Imre utca
",Magyaros pizza menü poharas jégkrémmel,4089Ft
2," Don Pepe - Kálmán Imre utca
",Margherita pizza menü poharas jégkrémmel,3889Ft
3," Don Pepe - Kálmán Imre utca
",SonGoKu pizza menü poharas jégkrémmel,4189Ft
4," Don Pepe - Kálmán Imre utca
",Sonkás pizza menü poharas jégkrémmel,4089Ft
5," Don Pepe - Kálmán Imre utca
","Sonkás, gombás pizza menü poharas jégkrémmel",4089Ft
6," Don Pepe - Kálmán Imre utca
","Sonkás, kukoricás pizza menü poharas jégkrémmel",4089Ft
7," Don Pepe - Kálmán Imre utca
",Októberi pizza normál tésztával (32cm),1790Ft
8," Don Pepe - Kálmán Imre utca
",Októberi pizza vékony tésztával (32cm),1790Ft
9," Don Pepe - Kálmán Imre utca
",LightCarb Októberi pizza normál tésztával (32cm),1790Ft
10," Don Pepe - Kálmán Imre utca
",LightCarb Októberi pizza vékony tésztával (32cm),1790Ft
11," Don Pepe - Kálmán Imre utca
",A hónap extra pizzája: BurDog pizza normál tésztával (32cm),3290Ft
12," Don Pepe - Kálmán Imre utca
",A hónap extra pizzája: LightCarb BurDog pizza normál tésztával (32cm),3290Ft
13," Don Pepe - Kálmán Imre utca
",A hónap extra pizzája: Vegán BurDog pizza normál tésztával (32cm),3290Ft
14," Don Pepe - Kálmán Imre utca
",A hónap extra pizzája: LightCarb Vegán BurDog pizza normál tésztával (32cm),3290Ft
15," Don Pepe - Kálmán Imre utca
",A hónap extra burgere: Cordon Bleu burger,2990Ft
16," Don Pepe - Kálmán Imre utca
",Vegán Satay roller füstölt tofuval,2380Ft
17," Don Pepe - Kálmán Imre utca
",Teljes kiőrlésű Vegán Satay roller füstölt tofuval,2380Ft
18," Don Pepe - Kálmán Imre utca
",Vegán Satay roller hagymás szejtánnal,2380Ft
19," Don Pepe - Kálmán Imre utca
",Teljes kiőrlésű Vegán Satay roller hagymás szejtánnal,2380Ft
20," Don Pepe - Kálmán Imre utca
",Parmezános burgonyakrémleves érlelt sonkachipsszel,1390Ft
21," Don Pepe - Kálmán Imre utca
","Vegán brassói búzahússal, káposztasalátával",2490Ft
22," Don Pepe - Kálmán Imre utca
","Vadpörkölt illatos gombákkal, juhtúrós sztrapacskával",2690Ft
23," Don Pepe - Kálmán Imre utca
",Vecsési pulykamell füstös burgonyapürével,2590Ft
24," Don Pepe - Kálmán Imre utca
",Fűszeres morzsában sült lazacsteak tejszínes-garnélás rizottóval,3690Ft
25," Don Pepe - Kálmán Imre utca
","Túrókrém ropogós kabátban, eperöntettel",1290Ft
26," Don Pepe - Kálmán Imre utca
","Vegán BBQ pizza normál tésztával, füstölt tofuval (32cm)",innen2290Ft
27," Don Pepe - Kálmán Imre utca
","Vegán BBQ pizza normál tésztával, hagymás szejtánnal (32cm)",innen2290Ft
28," Don Pepe - Kálmán Imre utca
","Vegán BBQ pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
29," Don Pepe - Kálmán Imre utca
",Vegán fokhagymás-tejfölös pizza normál tésztával füstölt tofuval (32cm),innen2390Ft
30," Don Pepe - Kálmán Imre utca
",Vegán fokhagymás-tejfölös pizza normál tésztával hagymás szejtánnal (32cm),innen2390Ft
31," Don Pepe - Kálmán Imre utca
",Vegán fokhagymás-tejfölös pizza normál tésztával pikáns-füstölt kolbásszal (32cm),innen2390Ft
32," Don Pepe - Kálmán Imre utca
",Vegán Füstölt Ko-Go-Ku pizza normál tésztával (32cm),innen2290Ft
33," Don Pepe - Kálmán Imre utca
",Vegán Füstölt To-Go-Ku pizza normál tésztával (32cm),innen2290Ft
34," Don Pepe - Kálmán Imre utca
",Vegán Füstölt tofus pizza normál tésztával (32cm),innen2190Ft
35," Don Pepe - Kálmán Imre utca
",Vegán Füstölt tofus-gombás pizza normál tésztával (32cm),innen2190Ft
36," Don Pepe - Kálmán Imre utca
",Vegán Füstölt tofus-kukoricás pizza normál tésztával (32cm),innen2190Ft
37," Don Pepe - Kálmán Imre utca
","Vegán gyros pizza normál tésztával, füstölt tofuval (32cm)",innen2390Ft
38," Don Pepe - Kálmán Imre utca
","Vegán gyros pizza normál tésztával, hagymás szejtánnal (32cm)",innen2390Ft
39," Don Pepe - Kálmán Imre utca
","Vegán gyros pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2390Ft
40," Don Pepe - Kálmán Imre utca
",Vegán Hagymás Sze-Go-Ku pizza normál tésztával (32cm),innen2290Ft
41," Don Pepe - Kálmán Imre utca
",Vegán Hagymás szejtános pizza normál tésztával (32cm),innen2190Ft
42," Don Pepe - Kálmán Imre utca
",Vegán Hagymás szejtános-gombás pizza normál tésztával (32cm),innen2190Ft
43," Don Pepe - Kálmán Imre utca
",Vegán Hagymás szejtános-kukoricás pizza normál tésztával (32cm),innen2190Ft
44," Don Pepe - Kálmán Imre utca
","Vegán Hawaii pizza normál tésztával, füstölt tofuval (32cm)",innen2290Ft
45," Don Pepe - Kálmán Imre utca
","Vegán Hawaii pizza normál tésztával, hagymás szejtánnal (32cm)",innen2290Ft
46," Don Pepe - Kálmán Imre utca
","Vegán Hawaii pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
47," Don Pepe - Kálmán Imre utca
","Vegán Jalapeno papa pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2290Ft
48," Don Pepe - Kálmán Imre utca
","Vegán Jalapeno papa pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2290Ft
49," Don Pepe - Kálmán Imre utca
","Vegán Jalapeno papa pizza normál tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2290Ft
50," Don Pepe - Kálmán Imre utca
","Vegán Keménylegény pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
51," Don Pepe - Kálmán Imre utca
","Vegán Keménylegény pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
52," Don Pepe - Kálmán Imre utca
","Vegán Keménylegény pizza normál tésztával, pikáns-füstölt kolbászkarikákkal (32cm) (csípős)",innen2190Ft
53," Don Pepe - Kálmán Imre utca
","Vegán Magyaros pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
54," Don Pepe - Kálmán Imre utca
","Vegán Magyaros pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
55," Don Pepe - Kálmán Imre utca
","Vegán Magyaros pizza normál tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
56," Don Pepe - Kálmán Imre utca
","Vegán Mexikói pizza normál tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
57," Don Pepe - Kálmán Imre utca
","Vegán Mexikói pizza normál tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
58," Don Pepe - Kálmán Imre utca
","Vegán Mexikói pizza normál tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
59," Don Pepe - Kálmán Imre utca
","Vegán Mint a Moziban! pizza normál tésztával, füstölt tofuval (32cm)",innen2790Ft
60," Don Pepe - Kálmán Imre utca
","Vegán Mint a Moziban! pizza normál tésztával, hagymás szejtánnal (32cm)",innen2790Ft
61," Don Pepe - Kálmán Imre utca
","Vegán Mint a Moziban! pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2790Ft
62," Don Pepe - Kálmán Imre utca
","Vegán Nagyon Mérges Vagyok! pizza normál tésztával, füstölt tofuval (32cm)",innen2690Ft
63," Don Pepe - Kálmán Imre utca
","Vegán Nagyon Mérges Vagyok! pizza normál tésztával, hagymás szejtánnal (32cm)",innen2690Ft
64," Don Pepe - Kálmán Imre utca
","Vegán Nagyon Mérges Vagyok! pizza normál tésztával, pikáns-füstölt kolbásszal (32cm)",innen2690Ft
65," Don Pepe - Kálmán Imre utca
",Vegán Pepe margaritája pizza normál tésztával (32cm),innen1990Ft
66," Don Pepe - Kálmán Imre utca
",Vegán Pikáns-Füstölt kolbászos pizza normál tésztával (32cm),innen2190Ft
67," Don Pepe - Kálmán Imre utca
",Vegán Pikáns-füstölt kolbászos-gombás pizza normál tésztával (32cm),innen2190Ft
68," Don Pepe - Kálmán Imre utca
",Vegán Pikáns-füstölt kolbászos-kukoricás pizza normál tésztával (32cm),innen2190Ft
69," Don Pepe - Kálmán Imre utca
","Vegán Taco pizza normál tésztával, füstölt tofuval (32cm)",innen2390Ft
70," Don Pepe - Kálmán Imre utca
","Vegán Taco pizza normál tésztával, hagymás szejtánnal",innen2390Ft
71," Don Pepe - Kálmán Imre utca
","Vegán Taco pizza normál tésztával, pikáns-füstölt kolbásszal",innen2390Ft
72," Don Pepe - Kálmán Imre utca
",Vegán Capricciosa pizza normál tésztával (32cm),innen2990Ft
73," Don Pepe - Kálmán Imre utca
",Vegán Pepperoni & Pfefferoni pizza normál tésztával (32cm),innen2490Ft
74," Don Pepe - Kálmán Imre utca
",Vegán Veteményes pizza normál tésztával (32cm),innen1990Ft
75," Don Pepe - Kálmán Imre utca
","Vegán BBQ pizza vékony tésztával, füstölt tofuval (32cm)",innen2290Ft
76," Don Pepe - Kálmán Imre utca
","Vegán BBQ pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2290Ft
77," Don Pepe - Kálmán Imre utca
","Vegán BBQ pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
78," Don Pepe - Kálmán Imre utca
",Vegán fokhagymás-tejfölös pizza vékony tésztával füstölt tofuval (32cm),innen2390Ft
79," Don Pepe - Kálmán Imre utca
",Vegán fokhagymás-tejfölös pizza vékony tésztával hagymás szejtánnal (32cm),innen2390Ft
80," Don Pepe - Kálmán Imre utca
",Vegán fokhagymás-tejfölös pizza vékony tésztával pikáns-füstölt kolbásszal (32cm),innen2390Ft
81," Don Pepe - Kálmán Imre utca
",Vegán Füstölt Ko-Go-Ku pizza vékony tésztával (32cm),innen2290Ft
82," Don Pepe - Kálmán Imre utca
",Vegán Füstölt To-Go-Ku pizza vékony tésztával (32cm),innen2290Ft
83," Don Pepe - Kálmán Imre utca
",Vegán Füstölt tofus pizza vékony tésztával (32cm),innen2190Ft
84," Don Pepe - Kálmán Imre utca
",Vegán Füstölt tofus-gombás pizza vékony tésztával (32cm),innen2190Ft
85," Don Pepe - Kálmán Imre utca
",Vegán Füstölt tofus-kukoricás pizza vékony tésztával (32cm),innen2190Ft
86," Don Pepe - Kálmán Imre utca
","Vegán gyros pizza vékony tésztával, füstölt tofuval (32cm)",innen2390Ft
87," Don Pepe - Kálmán Imre utca
","Vegán gyros pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2390Ft
88," Don Pepe - Kálmán Imre utca
","Vegán gyros pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2390Ft
89," Don Pepe - Kálmán Imre utca
",Vegán Hagymás Sze-Go-Ku pizza vékony tésztával (32cm),innen2290Ft
90," Don Pepe - Kálmán Imre utca
",Vegán Hagymás szejtános pizza vékony tésztával (32cm),innen2190Ft
91," Don Pepe - Kálmán Imre utca
",Vegán Hagymás szejtános-gombás pizza vékony tésztával (32cm),innen2190Ft
92," Don Pepe - Kálmán Imre utca
",Vegán Hagymás szejtános-kukoricás pizza vékony tésztával (32cm),innen2190Ft
93," Don Pepe - Kálmán Imre utca
","Vegán Hawaii pizza vékony tésztával, füstölt tofuval (32cm)",innen2290Ft
94," Don Pepe - Kálmán Imre utca
","Vegán Hawaii pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2290Ft
95," Don Pepe - Kálmán Imre utca
","Vegán Hawaii pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2290Ft
96," Don Pepe - Kálmán Imre utca
","Vegán Jalapeno papa pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2290Ft
97," Don Pepe - Kálmán Imre utca
","Vegán Jalapeno papa pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2290Ft
98," Don Pepe - Kálmán Imre utca
","Vegán Jalapeno papa pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2290Ft
99," Don Pepe - Kálmán Imre utca
","Vegán Keménylegény pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
100," Don Pepe - Kálmán Imre utca
","Vegán Keménylegény pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
101," Don Pepe - Kálmán Imre utca
","Vegán Keménylegény pizza vékony tésztával, pikáns-füstölt kolbászkarikákkal (32cm) (csípős)",innen2190Ft
102," Don Pepe - Kálmán Imre utca
","Vegán Magyaros pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
103," Don Pepe - Kálmán Imre utca
","Vegán Magyaros pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
104," Don Pepe - Kálmán Imre utca
","Vegán Magyaros pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
105," Don Pepe - Kálmán Imre utca
","Vegán Mexikói pizza vékony tésztával, füstölt tofuval (32cm) (csípős)",innen2190Ft
106," Don Pepe - Kálmán Imre utca
","Vegán Mexikói pizza vékony tésztával, hagymás szejtánnal (32cm) (csípős)",innen2190Ft
107," Don Pepe - Kálmán Imre utca
","Vegán Mexikói pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm) (csípős)",innen2190Ft
108," Don Pepe - Kálmán Imre utca
","Vegán Mint a Moziban! pizza vékony tésztával, füstölt tofuval (32cm)",innen2790Ft
109," Don Pepe - Kálmán Imre utca
","Vegán Mint a Moziban! pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2790Ft
110," Don Pepe - Kálmán Imre utca
","Vegán Mint a Moziban! pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2790Ft
111," Don Pepe - Kálmán Imre utca
","Vegán Nagyon Mérges Vagyok! pizza vékony tésztával, füstölt tofuval (32cm)",innen2690Ft
112," Don Pepe - Kálmán Imre utca
","Vegán Nagyon Mérges Vagyok! pizza vékony tésztával, hagymás szejtánnal (32cm)",innen2690Ft
113," Don Pepe - Kálmán Imre utca
","Vegán Nagyon Mérges Vagyok! pizza vékony tésztával, pikáns-füstölt kolbásszal (32cm)",innen2690Ft
