,Restaurant,User-Rating,No-Ratings,Address,Feature1,Feature2,Feature3,Feature4,Feature5,City
0," Don Pepe - Kálmán Imre utca
",4.6,1948.0,Kálmán Imre 23,Olasz,Nemzetközi,Magyaros,Hamburger,Vegán,Budapest
1," Il Terzo Cerchio Étterem Pizzéria
",4.4,352.0,Dohány u. 40,Olasz,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
2," Pizza Hut Arany János
",4.4,242.0,Arany János utca 31,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Budapest
3," 50minutes
",4.6,389.0,Fő utca 51,Olasz,Magyaros,Hamburger,Pizza,Algida,Budapest
4," Pizza Monkey Budapest
",4.3,163.0,Kármán utca 3,Magyaros,Hamburger,Saláta,Vegán,Grill,Budapest
5," Bellozzo - Oktogon
",4.7,487.0,Oktogon 1,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
6," Ponte Pizza and Restaurant
",4.7,1182.0,Nefelejcs utca 14,Pizza,Magyaros,Olasz,Készpénzes fizetés,,Budapest
7," Trófea Grill Étterem
",4.5,884.0,Király utca 30,Pizza,Olasz,Magyaros,Hamburger,Amerikai,Budapest
8," Vapiano Belváros
",4.2,223.0,Vörösmarty tér 3,Olasz,Pizza,Saláta,Tészta,NetPincér GO,Budapest
9," Attaboy! Burger and Pizza
",4.8,944.0,Síp utca 4,Pizza,Olasz,Amerikai,Hamburger,Készpénzes fizetés,Budapest
10," Etna Házhozszállítás
",4.7,223.0,Kertész utca 48,Olasz,Pizza,Ételérzékenyeknek is,Készpénzes fizetés,,Budapest
11," All About Street Food
",4.7,244.0,Múzeum utca 7,Pizza,Szendvics,Amerikai,Hamburger,Algida,Budapest
12," Pizza King Belváros
",3.9,1449.0,István utca 26,Olasz,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
13," Il Treno - Trombitás
",4.5,378.0,Retek utca 12,Pizza,Olasz,Készpénzes fizetés,,,Budapest
14," La Cipolla - Tradicionális olasz konyha
",4.7,1400.0,Rózsafa utca 13,Olasz,Pizza,Algida,Készpénzes fizetés,SZÉP kártyás fizetés,Budapest
15," Don Corleone Pizzéria
",4.7,403.0,Nefelejcs u. 27,Olasz,Nemzetközi,Pizza,Algida,Készpénzes fizetés,Budapest
16," Mercetti - az olasz konyha szerelmese
",4.8,341.0,Erkel utca 9,Pizza,Vegetariánus,Saláta,Tészta,Olasz,Budapest
17," Pizza & Minden 1790 Expressz
",4.8,281.0,Haris köz 4,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,Budapest
18," Grand Re Pizza Hungary
",4.7,112.0,Akácfa utca 65.,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
19," Pizza Nepper
",3.0,5.0,Vörösmarty tér 2,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
20," Szelet! Pizza
",4.7,178.0,Szent István krt. 12,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
21," Pasta Culture Tésztabár
",4.5,44.0,Október 6. utca 19,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
22," Kupak Bar & Bistro
",4.1,47.0,Dob utca 2,Pizza,Nemzetközi,Magyaros,NetPincér GO,SZÉP kártyás fizetés,Budapest
23," Mr Smith's Pizza
",4.5,8.0,Klauzál tér 10,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
24," Első Pesti Rétesház Étterem Expressz
",4.8,29.0,Október 6. utca 22,Cukrászda,Grill,Magyaros,Pizza,NetPincér GO,Budapest
25," Trófea Grill Étterem Zugló
",4.8,1839.0,Erzsébet királyné útja 5-7.,Olasz,Magyaros,Sushi,Hamburger,Amerikai,Budapest
26," Trabant Retro Bisztró Expressz
",4.7,15.0,Október 6. utca 22,Grill,Magyaros,Pizza,NetPincér GO,SZÉP kártyás fizetés,Budapest
27," Okay Italia Szent István krt. Expressz
",4.5,78.0,Szent István körút 20,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
28," BITE Bakery Café - Oktogon
",4.9,24.0,Oktogon 4,Pizza,Reggelizőhely,Pékség,NetPincér GO,SZÉP kártyás fizetés,Budapest
29," Élelem Étterem Budapest
",4.2,10.0,Garibaldi utca 5,Pizza,Hamburger,Pizza,Ételérzékenyeknek is,NetPincér GO,Budapest
30," Élelem Étterem Budapest Pizza
",5.0,1.0,Garibaldi utca 5,Pizza,NetPincér GO,SZÉP kártyás fizetés,Érintkezésmentes kiszállítás,,Budapest
31," Don Pepe - Kálmán Imre utca
",4.6,1948.0,Kálmán Imre 23,Olasz,Nemzetközi,Magyaros,Hamburger,Vegán,Budapest
32," Il Terzo Cerchio Étterem Pizzéria
",4.4,352.0,Dohány u. 40,Olasz,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,Budapest
33," Pizza Hut Arany János
",4.4,242.0,Arany János utca 31,Pizza,Készpénzes fizetés,SZÉP kártyás fizetés,,,Budapest
34," 50minutes
",4.6,389.0,Fő utca 51,Olasz,Magyaros,Hamburger,Pizza,Algida,Budapest
35," Pizza Monkey Budapest
",4.3,163.0,Kármán utca 3,Magyaros,Hamburger,Saláta,Vegán,Grill,Budapest
36," Bellozzo - Oktogon
",4.7,487.0,Oktogon 1,Pizza,Tészta,Olasz,NetPincér GO,SZÉP kártyás fizetés,Budapest
37," Ponte Pizza and Restaurant
",4.7,1182.0,Nefelejcs utca 14,Pizza,Magyaros,Olasz,Készpénzes fizetés,,Budapest
