ID,ShortDesc,Prices,Engine,Year,Displacement,Power_kW,Horsepower,Km,PictureCount
16280131,RENAULT MEGANE 1.5 dCi Authentique Plus,349900Ft,Dízel,2003/8,1461,60,82,235000,6
16217168,RENAULT MEGANE Classic 1.6 RN,350000Ft,Benzin,1998,1598,66,90,194000,5
16051073,RENAULT MEGANE 1.4 16V RN,350000Ft,Benzin,1999/10,1390,70,95,217500,12
16209380,RENAULT MEGANE 1.4 16V Alize mo-i működő klíma 234e km,399000Ft,Benzin,2003/7,1390,70,95,234633,12
15703940,RENAULT MEGANE 1.4 Chic Klima mo-i 2 tulaj klíma 192e km rozsdamentes,399000Ft,Benzin,1998/9,1390,55,75,192633,12
16257157,RENAULT MEGANE Limousine 1.9 dCi Dynamique Klíma. Fed comp. Vonóhorog,419000Ft,Dízel,2003/12,1870,88,120,210790,12
16254678,RENAULT MEGANE 1.4 Authentique Klíma.SokVizsga,469000Ft,Benzin,2005/4,1390,72,98,208361,8
16283793,RENAULT MEGANE 1.9 dCi Privilege Gyári színes navigáció!,490000Ft,Dízel,2001/8,1870,75,102,208807,12
16277370,RENAULT MEGANE Classic 1.4 16V Alize,539000Ft,Benzin,2002/4,1390,70,95,182600,6
16064604,RENAULT MEGANE ,599000Ft,Dízel,2005/10,1890,88,120,178000,12
16260463,RENAULT MEGANE 1.4 Azure,660000Ft,Benzin,2005/3,1390,72,98,200000,5
16274835,RENAULT MEGANE Limousine 1.4 Authentique Plus,745000Ft,Benzin,2005/6,1390,72,98,236000,6
16266688,RENAULT MEGANE Grandtour 1.6 Privilege,799000Ft,Benzin,2006/10,1598,82,111,195000,5
16166534,RENAULT MEGANE Grandtour 1.5 dCi Expression Megkímélt.Magyar.Szervízkönyv.Ködlámpa,890000Ft,Dízel,2007/11,1461,63,86,180406,12
16207160,RENAULT MEGANE Limousine 1.6 Privilege,930000Ft,Benzin,2005,1598,82,111,149914,6
16281230,RENAULT MEGANE 1.6 Privilege,970000Ft,Benzin,2006,1598,82,111,251000,11
16301262,RENAULT MEGANE 1.5 dCi 85 DPF Dynamique,1100000Ft,Dízel,2009/12,1461,63,86,173421,4
16276082,RENAULT MEGANE Grandtour 1.5 dCi TomTom,1200000Ft,Dízel,2010/12,1461,81,110,289000,12
16291057,RENAULT MEGANE 1.4 TCe Dynamique MAGYAR!!! GARANTÁLT KM!!!!,1499999Ft,Benzin,2010/6,1397,96,131,183000,7
15855457,RENAULT MEGANE Grandtour 1.5 dCi Expression Mo-i! Szkönyv! 175 e km! Téli-nyárigumi!,1599000Ft,Dízel,2013/3,1461,66,90,175456,12
16293281,RENAULT MEGANE Grandtour 1.5 dCi Expression,1750000Ft,Dízel,2012/10,1461,81,110,204400,12
16086913,RENAULT MEGANE Grandtour 1.9 dCi Privilege KLÍMA.TEMPOMAT.127e.Km!,1849000Ft,Dízel,2010/7,1870,96,131,127080,11
16193245,RENAULT MEGANE 1.6 Generation Magyar. vezetett szervizkönyv. 122.000 km !,1898000Ft,Benzin,2012/1,1598,74,101,122000,12
16288027,RENAULT MEGANE 1.4 TCe Dynamique NAVIGÁCIÓ,1990000Ft,Benzin,2011/5,1397,96,131,161000,12
16193612,RENAULT MEGANE Grandtour 1.6 Expression SZERVÍZKÖNYV! GARANTÁLT KM!,1990000Ft,Benzin,2009/11,1598,82,111,138300,12
16281776,RENAULT MEGANE 1.6 Generation 90000Km!GyáriFényezés!VezetettSzervizköny!Magyarországi!,1999000Ft,Benzin,2012/11,1598,74,101,90000,12
16254559,RENAULT MEGANE Grandtour 1.5 dCi Business,1999999Ft,Dízel,2014/3,1461,70,95,217500,5
16284701,RENAULT MEGANE 1.5 dCi Dynamique EDC CC automata tulajdonostól!,2150000Ft,Dízel,2010/10,1461,81,110,147000,6
16276937,RENAULT MEGANE Grandtour 1.6 Advantage ÁTVIZSGÁLT LESZERVIZELT ÁLLAPOT,2200000Ft,Benzin,2012/9,1598,74,101,81531,12
16286634,RENAULT MEGANE Grandtour 1.5 dCi Business Start&Stop Magyarországi! 100EKM!,2799000Ft,Dízel,2015/12,1461,81,110,100000,11
16282429,RENAULT MEGANE Grandtour 1.6 SCe Zen ÚJ IV.-ES MODELL.MO.-I.SZERVIZKÖNYV.GYÁRI FÉNY.1 TULAJ,3399000Ft,Benzin,2017/6,1598,84,114,178674,6
16242081,RENAULT MEGANE GrandCoupé 1.6 SCe Life Magyar--1.Privát Tulaj.--Vez.Szkönyv--S.mentes--Garanciális,3799000Ft,Benzin,2017/7,1598,84,114,87504,12
16264731,RENAULT MEGANE Grandtour 1.2 TCe Bose EDC7 Magyarországi!Szervizkönyves!,4199000Ft,Benzin,2017/10,1197,97,132,120000,12
